	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene																															
MYO1G.1	0	0.733232535	0.425	0.102	0	Prolif T	MYO1G																															
GLS.1	1.95E-160	0.73314988	0.495	0.133	7.56E-156	mRegDC	GLS																															
SNHG15.1	2.13E-167	0.733093621	0.521	0.142	8.24E-163	mRegDC	SNHG15																															
A4GALT	1.05E-169	0.73284258	0.385	0.055	4.08E-165	GC B	A4GALT																															
NBEAL1	2.57E-73	0.732819254	0.673	0.27	9.94E-69	GC B	NBEAL1																															
RRM1	0	0.732663987	0.381	0.1	0	Prolif T	RRM1																															
NME1	1.92E-69	0.732510471	0.559	0.173	7.44E-65	Plasmablast	NME1																															
HMOX1.9	0	0.732490325	0.501	0.085	0	LAM2	HMOX1																															
SNX2.1	2.17E-260	0.73203901	0.569	0.21	8.40E-256	IFN Mac	SNX2																															
CYTIP.11	0	0.731965057	0.579	0.204	0	Prolif T	CYTIP																															
CAPZB.5	1.01E-170	0.731590425	0.823	0.499	3.92E-166	IFN Mac	CAPZB																															
KIF2C	0	0.730993996	0.279	0.018	0	Prolif T	KIF2C																															
HRH2.1	0	0.730079718	0.28	0.03	0	Mono-like Mac	HRH2																															
ACP5.1	1.57E-240	0.72960965	0.452	0.16	6.07E-236	Breg	ACP5																															
CD53.20	0	0.729472622	0.66	0.233	0	Mono-like Mac	CD53																															
GNAI2.12	8.16E-74	0.729216709	0.778	0.299	3.16E-69	AXL_DC	GNAI2																															
BPNT1	1.21E-149	0.729178621	0.369	0.056	4.68E-145	GC B	BPNT1																															
GRN.31	3.01E-119	0.728938975	0.794	0.356	1.16E-114	mRegDC	GRN																															
HEXB	1.14E-234	0.728907894	0.582	0.231	4.41E-230	IFN Mac	HEXB																															
AP1S2.13	5.87E-56	0.728286587	0.514	0.173	2.27E-51	AXL_DC	AP1S2																															
GGNBP2	3.71E-62	0.728116642	0.598	0.244	1.43E-57	GC B	GGNBP2																															
STARD7	1.64E-115	0.727880267	0.56	0.208	6.33E-111	mRegDC	STARD7																															
HNRNPC	1.45E-52	0.727703384	0.827	0.507	5.62E-48	GC B	HNRNPC																															
RUNX3.2	0	0.727598228	0.412	0.104	0	Prolif T	RUNX3																															
TPM3.3	0	0.727321516	0.805	0.521	0	Mono-like Mac	TPM3																															
ZEB2.11	0	0.727277471	0.69	0.174	0	LAM2	ZEB2																															
ACAP1.12	0	0.727268524	0.62	0.201	0	Prolif T	ACAP1																															
PGAM1.1	1.47E-178	0.726879888	0.751	0.408	5.69E-174	LAM2	PGAM1																															
MOB1A.12	3.47E-79	0.726163904	0.759	0.291	1.34E-74	AXL_DC	MOB1A																															
SNRPB.1	1.33E-54	0.725916199	0.749	0.402	5.15E-50	GC B	SNRPB																															
SRSF10	0	0.725911017	0.598	0.314	0	Prolif T	SRSF10																															
SNRNP25	0	0.725776869	0.418	0.152	0	Prolif T	SNRNP25																															
DNASE2	2.98E-216	0.72553241	0.451	0.16	1.15E-211	IFN Mac	DNASE2																															
ARF6	0	0.725375876	0.579	0.283	0	Prolif T	ARF6																															
NCF4.3	0	0.725017977	0.478	0.09	0	IFN Mac	NCF4																															
HM13.2	6.26E-209	0.724680762	0.727	0.331	2.42E-204	LAM2	HM13																															
TBC1D10C.17	8.97E-262	0.724556662	0.477	0.155	3.47E-257	Breg	TBC1D10C																															
WARS.5	6.67E-89	0.724466205	0.594	0.168	2.58E-84	AXL_DC	WARS																															
LINC02362.1	0	0.724320983	0.282	0.009	0	IgA mature	LINC02362																															
RASGEF1B.4	1.26E-144	0.724304543	0.371	0.051	4.87E-140	AXL_DC	RASGEF1B																															
CCR1.1	0	0.723829078	0.39	0.044	0	IFN Mac	CCR1																															
LTB.3	0	0.723591109	0.565	0.202	0	CD4+ TFH	LTB																															
SPN.1	0	0.723508818	0.43	0.092	0	Prolif T	SPN																															
CCDC88A.10	7.23E-109	0.723464111	0.575	0.139	2.79E-104	AXL_DC	CCDC88A																															
TNFAIP8.9	3.98E-198	0.72299254	0.633	0.167	1.54E-193	mRegDC	TNFAIP8																															
TOX.2	1.24E-182	0.722984541	0.394	0.051	4.81E-178	GC B	TOX																															
PRELID1	3.54E-37	0.722459048	0.732	0.413	1.37E-32	Plasmablast	PRELID1																															
PIK3AP1.3	0	0.72219751	0.395	0.054	0	IFN Mac	PIK3AP1																															
FGD2.2	0	0.721669873	0.37	0.035	0	IFN Mac	FGD2																															
SPPL2A.4	1.00E-168	0.721582007	0.617	0.189	3.87E-164	mRegDC	SPPL2A																															
HLA-DQB2	0	0.721508757	0.305	0.027	0	IFN Mac	HLA-DQB2																															
ST6GAL1	1.99E-73	0.721465822	0.419	0.115	7.69E-69	GC B	ST6GAL1																															
PNN	5.03E-53	0.721460804	0.631	0.286	1.94E-48	GC B	PNN																															
HIST1H2BJ	1.71E-256	0.721069025	0.346	0.027	6.60E-252	Plasmablast	HIST1H2BJ																															
SLC31A2.1	0	0.721018996	0.329	0.063	0	Mono-like Mac	SLC31A2																															
TGFBI.13	5.92E-84	0.720977934	0.587	0.165	2.29E-79	AXL_DC	TGFBI																															
SQOR	0	0.720964918	0.494	0.126	0	IFN Mac	SQOR																															
RAB13.22	1.80E-281	0.720768538	0.729	0.285	6.97E-277	LAM2	RAB13																															
ATG3.2	0	0.720439943	0.528	0.238	0	Mono-like Mac	ATG3																															
HAVCR2.14	1.72E-143	0.720277123	0.479	0.079	6.64E-139	AXL_DC	HAVCR2																															
NINJ1.8	4.37E-241	0.720269265	0.621	0.232	1.69E-236	LAM2	NINJ1																															
STX11.2	1.02E-266	0.719811886	0.476	0.048	3.93E-262	AXL_DC	STX11																															
H2AFY2	8.39E-265	0.719643077	0.389	0.061	3.24E-260	mRegDC	H2AFY2																															
PYCARD.9	4.27E-270	0.719383726	0.711	0.28	1.65E-265	LAM2	PYCARD																															
ARPC4.9	4.40E-74	0.718816585	0.632	0.215	1.70E-69	AXL_DC	ARPC4																															
APLP2.16	6.48E-258	0.718764787	0.757	0.314	2.51E-253	LAM2	APLP2																															
SGO2	0	0.718752133	0.297	0.035	0	Prolif T	SGO2																															
KIF11	0	0.718311639	0.28	0.019	0	Prolif T	KIF11																															
SAMSN1.6	0	0.718284443	0.454	0.138	0	Mono-like Mac	SAMSN1																															
PTPRC.21	5.80E-78	0.717992857	0.86	0.32	2.24E-73	GC B	PTPRC																															
SCARB2.3	3.52E-275	0.717916496	0.62	0.22	1.36E-270	LAM2	SCARB2																															
ZYX.12	6.05E-95	0.717775522	0.651	0.278	2.34E-90	mRegDC	ZYX																															
ADGRE5.2	0	0.717727231	0.484	0.171	0	Prolif T	ADGRE5																															
BRCA1	0	0.717591975	0.287	0.031	0	Prolif T	BRCA1																															
SGO1	0	0.717571906	0.301	0.023	0	Prolif T	SGO1																															
SPAG4.2	0	0.717540412	0.353	0.031	0	IgA mature	SPAG4																															
RNH1.4	2.89E-229	0.71693578	0.756	0.354	1.12E-224	LAM2	RNH1																															
BCL2L12	6.18E-168	0.716866149	0.562	0.095	2.39E-163	Plasmablast	BCL2L12																															
NFE2L2.1	9.88E-66	0.716797216	0.689	0.265	3.82E-61	AXL_DC	NFE2L2																															
ERP44	2.80E-55	0.716460924	0.536	0.212	1.08E-50	GC B	ERP44																															
IGHD.1	0	0.716130121	0.277	0.008	0	GC B	IGHD																															
MZT2B.1	6.50E-43	0.71587436	0.699	0.322	2.51E-38	Plasmablast	MZT2B																															
BHLHE40.5	6.81E-143	0.715534533	0.622	0.206	2.63E-138	mRegDC	BHLHE40																															
C1QC.10	8.73E-82	0.715530615	0.419	0.093	3.37E-77	AXL_DC	C1QC																															
QARS	6.34E-75	0.715291059	0.522	0.176	2.45E-70	GC B	QARS																															
ANXA5.9	0	0.715197503	0.809	0.445	0	Mono-like Mac	ANXA5																															
UBE2G1	6.27E-95	0.715067038	0.506	0.139	2.42E-90	GC B	UBE2G1																															
DOK2.6	0	0.714811903	0.499	0.132	0	IFN Mac	DOK2																															
NAGA	0	0.714575922	0.433	0.089	0	IFN Mac	NAGA																															
CST7.2	0	0.713857024	0.499	0.171	0	CD4+ TREG	CST7																															
AC004687.1.2	0	0.712971887	0.356	0.071	0	Mono-like Mac	AC004687.1																															
ARHGAP24.2	1.67E-118	0.712939619	0.338	0.057	6.47E-114	GC B	ARHGAP24																															
NCKAP1L.2	0	0.712333458	0.505	0.104	0	IFN Mac	NCKAP1L																															
ANKRD13A	3.43E-158	0.712151336	0.439	0.073	1.33E-153	GC B	ANKRD13A																															
CHCHD10	2.88E-55	0.712114979	0.673	0.299	1.11E-50	GC B	CHCHD10																															
CSTB.4	1.32E-226	0.71208623	0.896	0.568	5.10E-222	IFN Mac	CSTB																															
PPP1R14A.1	8.83E-88	0.71187028	0.305	0.052	3.42E-83	AXL_DC	PPP1R14A																															
ARPC5.10	1.34E-208	0.711847725	0.842	0.475	5.19E-204	LAM2	ARPC5																															
STX11.1	0	0.711694355	0.402	0.047	0	IFN Mac	STX11																															
WIPF1.2	0	0.711368527	0.572	0.235	0	Prolif T	WIPF1																															
AC007952.4.5	2.51E-74	0.711216923	0.429	0.107	9.70E-70	AXL_DC	AC007952.4																															
RAB7B	0	0.710982664	0.324	0.029	0	LAM2	RAB7B																															
ATP2B1-AS1.7	8.94E-113	0.710853672	0.438	0.083	3.46E-108	AXL_DC	ATP2B1-AS1																															
NOP53.4	1.37E-163	0.710499979	0.77	0.503	5.29E-159	Breg	NOP53																															
HIRIP3	0	0.710133142	0.343	0.082	0	Prolif T	HIRIP3																															
GABARAP.5	2.49E-69	0.710035643	0.775	0.46	9.61E-65	mRegDC	GABARAP																															
PNRC1.4	1.52E-122	0.709906002	0.763	0.474	5.88E-118	IFN Mac	PNRC1																															
RGL1	0	0.709626341	0.349	0.049	0	IFN Mac	RGL1																															
RGS1.9	1.85E-91	0.709511664	0.735	0.236	7.14E-87	GC B	RGS1																															
RHOH.9	7.73E-193	0.709381988	0.417	0.152	2.99E-188	Breg	RHOH																															
CAP1.3	0	0.707990025	0.748	0.439	0	Mono-like Mac	CAP1																															
ENO3	0	0.707683228	0.302	0.021	0	mRegDC	ENO3																															
CD27.16	1.78E-61	0.707548164	0.401	0.149	6.89E-57	IgA immature	CD27																															
CREBL2	0	0.707434381	0.444	0.105	0	IFN Mac	CREBL2																															
ANXA11.1	9.13E-190	0.706911354	0.735	0.35	3.53E-185	LAM2	ANXA11																															
LGALS9.14	2.68E-123	0.706231672	0.59	0.129	1.04E-118	AXL_DC	LGALS9																															
FNIP2.5	2.42E-113	0.705944323	0.422	0.08	9.37E-109	AXL_DC	FNIP2																															
ALOX5.1	7.57E-105	0.705944321	0.33	0.059	2.93E-100	GC B	ALOX5																															
C4orf3.4	9.46E-18	0.705820285	0.223	0.501	3.66E-13	Neutrophils	C4orf3																															
NASP.1	3.35E-49	0.705663009	0.534	0.231	1.30E-44	GC B	NASP																															
SNN	0	0.705475587	0.392	0.047	0	mRegDC	SNN																															
ARPC5L	0	0.705167878	0.589	0.29	0	Prolif T	ARPC5L																															
DCAF12	1.47E-88	0.705166936	0.422	0.108	5.68E-84	GC B	DCAF12																															
CD69.5	1.57E-137	0.705068222	0.505	0.22	6.05E-133	CD4+ TH1	CD69																															
SERP1.4	6.61E-13	0.705063114	0.259	0.529	2.56E-08	Neutrophils	SERP1																															
CYBA.16	0	0.704496837	0.814	0.545	0	IgG mature	CYBA																															
RNF149.1	0	0.704402487	0.536	0.246	0	Mono-like Mac	RNF149																															
FCRL5.3	0	0.704246621	0.543	0.014	0	IgG immature	FCRL5																															
CAMK2D	1.28E-67	0.7041651	0.397	0.111	4.93E-63	GC B	CAMK2D																															
CD40.4	0	0.703817619	0.443	0.095	0	LAM2	CD40																															
P2RY13.1	0	0.703563157	0.292	0.016	0	IFN Mac	P2RY13																															
SOAT1.1	0	0.703527887	0.512	0.1	0	LAM2	SOAT1																															
ACTR3.10	2.24E-56	0.702759977	0.854	0.433	8.65E-52	AXL_DC	ACTR3																															
DTYMK.1	7.33E-106	0.702624786	0.578	0.137	2.83E-101	Plasmablast	DTYMK																															
RFTN1.2	8.34E-135	0.702460057	0.498	0.091	3.23E-130	AXL_DC	RFTN1																															
MCOLN2.1	9.07E-190	0.702453207	0.298	0.027	3.51E-185	AXL_DC	MCOLN2																															
PSME1	0	0.702363836	0.845	0.58	0	Prolif T	PSME1																															
TMEM156	1.53E-177	0.702356018	0.302	0.033	5.91E-173	GC B	TMEM156																															
NUDT21	0	0.702014393	0.496	0.212	0	Prolif T	NUDT21																															
COX17.1	1.11E-45	0.701684539	0.788	0.371	4.29E-41	Plasmablast	COX17																															
LMNB1.1	1.36E-119	0.701637251	0.425	0.083	5.27E-115	GC B	LMNB1																															
NDUFA13	2.51E-73	0.70149132	0.721	0.299	9.71E-69	GC B	NDUFA13																															
SERPING1.1	0	0.701400201	0.706	0.237	0	IFN Mac	SERPING1																															
POMP.4	6.26E-214	0.701045366	0.862	0.49	2.42E-209	LAM2	POMP																															
MFSD1.7	0	0.700618504	0.623	0.183	0	LAM2	MFSD1																															
MYO1F.4	0	0.700582418	0.466	0.12	0	Mono-like Mac	MYO1F																															
SRGN.13	0	0.700504688	0.876	0.418	0	Prolif T	SRGN																															
RAB20.6	0	0.700189695	0.448	0.072	0	LAM2	RAB20																															
CD6.5	0	0.699863251	0.408	0.09	0	Prolif T	CD6																															
SNX11	1.20E-277	0.699356634	0.37	0.053	4.65E-273	mRegDC	SNX11																															
RUFY3	1.02E-243	0.69924368	0.462	0.088	3.96E-239	mRegDC	RUFY3																															
GRAMD1A	7.21E-139	0.699115294	0.473	0.137	2.79E-134	mRegDC	GRAMD1A																															
SNRPD1	0	0.698914666	0.649	0.356	0	Prolif T	SNRPD1																															
ZFAND5.1	0	0.698738331	0.563	0.29	0	Mono-like Mac	ZFAND5																															
SEL1L.1	0	0.698613739	0.48	0.161	0	IgA mature	SEL1L																															
PTPN6.9	0	0.698513485	0.531	0.188	0	Mono-like Mac	PTPN6																															
LBR	0	0.698277961	0.441	0.152	0	Prolif T	LBR																															
NECTIN2	3.36E-276	0.698107228	0.525	0.177	1.30E-271	IFN Mac	NECTIN2																															
CXCR4.11	0	0.698055866	0.693	0.297	0	Prolif T	CXCR4																															
MCTP1	0	0.698018044	0.356	0.04	0	IFN Mac	MCTP1																															
MCL1.9	2.84E-53	0.69796497	0.86	0.43	1.10E-48	AXL_DC	MCL1																															
GRHPR	1.65E-73	0.69775982	0.615	0.234	6.37E-69	GC B	GRHPR																															
SMIM25.4	0	0.697441596	0.363	0.044	0	IFN Mac	SMIM25																															
PTPN6	0	0.697052756	0.479	0.188	0	Prolif T	PTPN6																															
RPN2	1.49E-38	0.696742024	0.676	0.36	5.77E-34	Plasmablast	RPN2																															
PLXDC2.10	3.02E-115	0.696712719	0.546	0.12	1.17E-110	AXL_DC	PLXDC2																															
CYBA.3	0	0.696681548	0.808	0.541	0	CD8+ TEX	CYBA																															
BNIP3L.8	9.25E-42	0.696567015	0.654	0.289	3.58E-37	AXL_DC	BNIP3L																															
PLAAT4.3	0	0.69636329	0.562	0.257	0	Prolif T	PLAAT4																															
RAC1.3	0	0.696302695	0.681	0.376	0	Mono-like Mac	RAC1																															
AQP9.2	0	0.696196771	0.443	0.046	0	LAM2	AQP9																															
HLA-E.2	0	0.696144259	0.896	0.631	0	CD4+ TFH	HLA-E																															
GPX4.5	1.44E-172	0.695895204	0.918	0.598	5.55E-168	LAM2	GPX4																															
RBPJ.4	0	0.695821025	0.591	0.273	0	Mono-like Mac	RBPJ																															
ACHE	0	0.695665184	0.314	0.012	0	mRegDC	ACHE																															
CIITA	6.60E-119	0.695525836	0.299	0.045	2.55E-114	GC B	CIITA																															
EZH2.1	8.50E-144	0.695495478	0.38	0.061	3.29E-139	GC B	EZH2																															
GABARAPL2.2	2.05E-40	0.6954273	0.778	0.427	7.93E-36	AXL_DC	GABARAPL2																															
ACP5.2	0	0.695376779	0.461	0.158	0	Mono-like Mac	ACP5																															
EPB41L3.1	0	0.69527785	0.404	0.047	0	IFN Mac	EPB41L3																															
LPXN.2	1.94E-91	0.69519312	0.511	0.134	7.52E-87	GC B	LPXN																															
AC008105.3	0	0.695178167	0.368	0.022	0	mRegDC	AC008105.3																															
CYBC1	2.16E-47	0.695142624	0.525	0.22	8.37E-43	GC B	CYBC1																															
PTBP3	1.70E-131	0.694971309	0.581	0.198	6.56E-127	mRegDC	PTBP3																															
FMNL1.10	1.08E-255	0.694716619	0.543	0.107	4.19E-251	mRegDC	FMNL1																															
H2AFY	0	0.694613726	0.618	0.325	0	Prolif T	H2AFY																															
TPI1.3	0.001053046	0.694151744	0.394	0.652	1	Neutrophils	TPI1																															
RNF130.14	2.12E-82	0.694059665	0.632	0.199	8.18E-78	AXL_DC	RNF130																															
MIS18BP1	0	0.693857428	0.414	0.136	0	Prolif T	MIS18BP1																															
NAA38	8.06E-53	0.693456484	0.775	0.346	3.12E-48	Plasmablast	NAA38																															
CERS4	1.13E-100	0.693110334	0.408	0.091	4.37E-96	GC B	CERS4																															
GNAI2.7	6.40E-249	0.69306124	0.718	0.298	2.47E-244	LAM2	GNAI2																															
RB1	5.03E-276	0.692757463	0.458	0.137	1.94E-271	IFN Mac	RB1																															
TPM3	0	0.692180395	0.774	0.521	0	Prolif T	TPM3																															
NCEH1.1	0	0.691987138	0.409	0.041	0	LAM2	NCEH1																															
RHOA.3	1.93E-163	0.691588429	0.903	0.634	7.45E-159	IFN Mac	RHOA																															
ABI3	0	0.691386836	0.415	0.109	0	Prolif T	ABI3																															
LCP2.7	0	0.691353872	0.536	0.183	0	Prolif T	LCP2																															
NASP.2	1.03E-48	0.691347642	0.605	0.231	3.97E-44	Plasmablast	NASP																															
ANKRD33B	0	0.691070549	0.335	0.008	0	mRegDC	ANKRD33B																															
SLC25A6	1.95E-49	0.691012871	0.925	0.643	7.52E-45	GC B	SLC25A6																															
TUBA1B.4	1.56E-178	0.690852061	0.878	0.546	6.04E-174	IFN Mac	TUBA1B																															
CNTRL	0	0.69082868	0.385	0.091	0	Prolif T	CNTRL																															
RAB11FIP1.4	4.87E-147	0.69066225	0.47	0.127	1.88E-142	mRegDC	RAB11FIP1																															
ANXA6	0	0.690549625	0.602	0.287	0	Prolif T	ANXA6																															
SH3KBP1	0	0.690147334	0.508	0.203	0	Prolif T	SH3KBP1																															
CENPH	0	0.690027246	0.32	0.049	0	Prolif T	CENPH																															
LILRB2.7	0	0.689996019	0.381	0.037	0	LAM2	LILRB2																															
TRAPPC1.1	8.95E-49	0.689704247	0.777	0.432	3.46E-44	GC B	TRAPPC1																															
S1PR2	8.19E-226	0.68963078	0.316	0.03	3.17E-221	GC B	S1PR2																															
TLR10	0	0.689579461	0.293	0.011	0	GC B	TLR10																															
CDKN3.1	1.55E-111	0.68936018	0.324	0.054	6.00E-107	GC B	CDKN3																															
TCIRG1.8	5.14E-65	0.689109884	0.565	0.186	1.99E-60	AXL_DC	TCIRG1																															
FCRL5.5	0	0.689042972	0.279	0.015	0	IgA immature	FCRL5																															
ACTR2.3	7.51E-208	0.688927969	0.713	0.346	2.90E-203	IFN Mac	ACTR2																															
RPA3.2	1.56E-66	0.688840638	0.673	0.234	6.03E-62	Plasmablast	RPA3																															
ATP5PF	1.57E-40	0.688220847	0.846	0.518	6.09E-36	Plasmablast	ATP5PF																															
OSTC	4.72E-43	0.688060057	0.719	0.38	1.83E-38	Plasmablast	OSTC																															
NEAT1.10	2.41E-52	0.687851345	0.952	0.569	9.32E-48	AXL_DC	NEAT1																															
RAPGEF1.3	2.75E-213	0.687712687	0.454	0.093	1.06E-208	mRegDC	RAPGEF1																															
LRRFIP1.10	5.00E-57	0.686895228	0.803	0.364	1.93E-52	AXL_DC	LRRFIP1																															
GPX4.9	7.42E-47	0.686765128	0.943	0.599	2.87E-42	AXL_DC	GPX4																															
SLC25A5.1	1.08E-38	0.686683982	0.873	0.518	4.18E-34	Plasmablast	SLC25A5																															
PA2G4	0	0.686678254	0.647	0.379	0	Prolif T	PA2G4																															
ELL2	3.17E-140	0.686601785	0.539	0.102	1.23E-135	Plasmablast	ELL2																															
SEL1L3.2	0	0.685938542	0.354	0.072	0	IgG mature	SEL1L3																															
ABHD12	2.40E-302	0.68585623	0.446	0.127	9.29E-298	IFN Mac	ABHD12																															
BTG2.2	3.30E-137	0.685695215	0.691	0.296	1.28E-132	IgG immature	BTG2																															
ATF3.5	2.10E-305	0.685650305	0.474	0.128	8.13E-301	LAM2	ATF3																															
MND1.1	6.59E-230	0.685444821	0.31	0.024	2.55E-225	Plasmablast	MND1																															
MARCH1.20	8.76E-141	0.685167714	0.429	0.066	3.39E-136	AXL_DC	Mar-01																															
MCUB	3.93E-94	0.685072215	0.553	0.156	1.52E-89	GC B	MCUB																															
H2AFX.2	4.55E-91	0.684766569	0.546	0.136	1.76E-86	Plasmablast	H2AFX																															
RNASEH2A	0	0.684727807	0.368	0.093	0	Prolif T	RNASEH2A																															
CD27.15	0	0.684394183	0.542	0.146	0	IgA mature	CD27																															
SIPA1L1	8.49E-119	0.684386443	0.451	0.086	3.28E-114	AXL_DC	SIPA1L1																															
DBI.4	1.87E-198	0.683972642	0.872	0.537	7.24E-194	LAM2	DBI																															
TSPO.4	2.06E-164	0.683685167	0.819	0.484	7.96E-160	IFN Mac	TSPO																															
GNG5.2	0	0.683138623	0.847	0.538	0	Mono-like Mac	GNG5																															
GLRX.2	0	0.682788306	0.527	0.228	0	Mono-like Mac	GLRX																															
TWF2.6	2.30E-67	0.682541307	0.654	0.239	8.89E-63	AXL_DC	TWF2																															
MTERF4	1.45E-62	0.682111247	0.416	0.127	5.62E-58	GC B	MTERF4																															
CACYBP	0	0.681900204	0.601	0.311	0	Prolif T	CACYBP																															
TOR3A	2.89E-116	0.681531253	0.572	0.13	1.12E-111	Plasmablast	TOR3A																															
RAC1.4	2.16E-142	0.680729493	0.697	0.378	8.35E-138	IFN Mac	RAC1																															
CSTA.11	4.56E-161	0.680467132	0.517	0.085	1.76E-156	AXL_DC	CSTA																															
SEMA4A.2	0	0.680341338	0.381	0.053	0	IFN Mac	SEMA4A																															
CD4.15	1.21E-145	0.680262673	0.571	0.104	4.68E-141	AXL_DC	CD4																															
KLF6.4	5.22E-123	0.680189865	0.758	0.453	2.02E-118	IFN Mac	KLF6																															
SEL1L	0	0.679992702	0.414	0.16	0	IgG mature	SEL1L																															
PLBD1	0	0.679971837	0.421	0.076	0	IFN Mac	PLBD1																															
LSM2	0	0.679926106	0.619	0.324	0	Prolif T	LSM2																															
BUB1	0	0.67988747	0.48	0.021	0	Plasmablast	BUB1																															
RNASEH2A.1	2.39E-127	0.679863995	0.51	0.096	9.23E-123	Plasmablast	RNASEH2A																															
BCL2L11	1.14E-257	0.679819295	0.378	0.059	4.42E-253	mRegDC	BCL2L11																															
LSM5.1	8.34E-53	0.679355063	0.752	0.322	3.23E-48	Plasmablast	LSM5																															
HNMT	0	0.679299002	0.417	0.138	0	Mono-like Mac	HNMT																															
SORL1	1.66E-76	0.67887222	0.447	0.124	6.43E-72	GC B	SORL1																															
CLSPN.1	1.10E-273	0.67831626	0.408	0.034	4.23E-269	Plasmablast	CLSPN																															
NRP1.1	0	0.678166451	0.523	0.103	0	LAM2	NRP1																															
ISG20.14	0	0.677789969	0.612	0.28	0	IgG mature	ISG20																															
NKTR	1.01E-47	0.677500959	0.587	0.257	3.89E-43	GC B	NKTR																															
NUB1	6.45E-222	0.677336612	0.502	0.183	2.50E-217	IFN Mac	NUB1																															
KLF6.3	2.61E-281	0.677077269	0.731	0.451	1.01E-276	Mono-like Mac	KLF6																															
PLEKHO1	0	0.677013172	0.365	0.11	0	Mono-like Mac	PLEKHO1																															
CCDC69.1	9.75E-197	0.676852461	0.608	0.091	3.77E-192	Plasmablast	CCDC69																															
NAGK.1	0	0.676771846	0.438	0.18	0	Mono-like Mac	NAGK																															
SLAMF8	0	0.676708525	0.29	0.037	0	Mono-like Mac	SLAMF8																															
LIMD2.23	2.33E-34	0.676656949	0.667	0.289	9.01E-30	Plasmablast	LIMD2																															
ANXA2.11	1.41E-171	0.676452455	0.877	0.531	5.43E-167	IFN Mac	ANXA2																															
PIP4K2A	1.54E-91	0.676179975	0.374	0.081	5.96E-87	GC B	PIP4K2A																															
M6PR.8	1.16E-78	0.67594467	0.705	0.249	4.50E-74	AXL_DC	M6PR																															
EMILIN2.1	0	0.675785374	0.367	0.044	0	IFN Mac	EMILIN2																															
MTHFD2.3	9.25E-288	0.675363783	0.576	0.193	3.58E-283	IFN Mac	MTHFD2																															
ADGRE2.2	0	0.675354795	0.35	0.036	0	IFN Mac	ADGRE2																															
CALM3.4	9.61E-139	0.675125732	0.743	0.4	3.72E-134	LAM2	CALM3																															
PHAX	1.42E-54	0.674853472	0.43	0.151	5.50E-50	GC B	PHAX																															
MITF	0	0.674847095	0.463	0.059	0	LAM2	MITF																															
PLEKHB2	6.92E-290	0.674812622	0.545	0.182	2.67E-285	IFN Mac	PLEKHB2																															
SSR1	1.34E-50	0.674440573	0.676	0.304	5.18E-46	Plasmablast	SSR1																															
TNFRSF1B.13	1.49E-90	0.674409265	0.565	0.143	5.74E-86	AXL_DC	TNFRSF1B																															
DCPS	4.42E-136	0.674370062	0.592	0.122	1.71E-131	Plasmablast	DCPS																															
EMP3.3	0	0.673837743	0.732	0.399	0	Prolif T	EMP3																															
TPP1.8	0	0.673715923	0.672	0.213	0	LAM2	TPP1																															
NLRP3.2	2.63E-274	0.673608439	0.337	0.025	1.02E-269	AXL_DC	NLRP3																															
BORCS8-MEF2B	0	0.67310846	0.291	0.007	0	GC B	BORCS8-MEF2B																															
CASP1.1	0	0.672893064	0.435	0.141	0	Mono-like Mac	CASP1																															
KCNK6.3	2.08E-131	0.672419639	0.451	0.08	8.06E-127	AXL_DC	KCNK6																															
SEPTIN7	0	0.672279081	0.647	0.365	0	Prolif T	SEPTIN7																															
RELB	2.53E-103	0.672189589	0.438	0.089	9.78E-99	AXL_DC	RELB																															
SP140	0	0.671829067	0.359	0.072	0	Prolif T	SP140																															
TNFAIP3.14	9.98E-212	0.671733399	0.587	0.222	3.86E-207	IFN Mac	TNFAIP3																															
CCDC167.1	6.46E-56	0.671534195	0.522	0.204	2.50E-51	GC B	CCDC167																															
MCM3.1	4.61E-61	0.671229739	0.397	0.121	1.78E-56	GC B	MCM3																															
MCM5.2	2.02E-91	0.671154224	0.464	0.104	7.79E-87	Plasmablast	MCM5																															
IL10RA.9	9.93E-158	0.671020987	0.514	0.132	3.84E-153	mRegDC	IL10RA																															
SLC15A3.7	4.47E-171	0.671006704	0.406	0.053	1.73E-166	AXL_DC	SLC15A3																															
ADA2.7	0	0.670210234	0.488	0.088	0	LAM2	ADA2																															
CARD16.4	0	0.670113172	0.52	0.196	0	Mono-like Mac	CARD16																															
PYCARD.14	4.99E-57	0.669900612	0.698	0.282	1.93E-52	AXL_DC	PYCARD																															
BLOC1S6	1.75E-57	0.669796266	0.447	0.156	6.77E-53	GC B	BLOC1S6																															
YEATS4	0	0.669591933	0.364	0.102	0	Prolif T	YEATS4																															
DEF6.3	0	0.66956182	0.465	0.138	0	Prolif T	DEF6																															
MOB1A.3	0	0.669542069	0.591	0.289	0	Mono-like Mac	MOB1A																															
GAA	0	0.669466921	0.479	0.128	0	IFN Mac	GAA																															
EAF2.3	0	0.669083651	0.345	0.039	0	IgA mature	EAF2																															
BLOC1S1	0	0.66899468	0.54	0.277	0	Prolif T	BLOC1S1																															
SP100	0	0.668579859	0.618	0.319	0	Prolif T	SP100																															
SET	8.53E-44	0.668153905	0.69	0.373	3.30E-39	GC B	SET																															
TTYH2	0	0.668153845	0.354	0.021	0	mRegDC	TTYH2																															
